eps,min_samples,n_clusters,noise_ratio,accuracy,precision,recall,f1_score,tp,tn,fp,fn,fpr
0.3,3,6,0.9985640870616687,0.07698744769874477,0.07698744769874477,1.0,0.14296814296814297,276,0,3309,0,1.0
0.3,5,0,1.0,0.07698744769874477,0.07698744769874477,1.0,0.14296814296814297,276,0,3309,0,1.0
0.5,3,58,0.9863966142684402,0.07782426778242678,0.07705192629815745,1.0,0.1430793157076205,276,3,3306,0,0.99909338168631
0.5,5,0,1.0,0.07698744769874477,0.07698744769874477,1.0,0.14296814296814297,276,0,3309,0,1.0
0.7,3,178,0.9564691656590084,0.08256624825662483,0.07741935483870968,1.0,0.14371257485029942,276,20,3289,0,0.9939558779087337
0.7,5,2,0.9992442563482467,0.07698744769874477,0.07698744769874477,1.0,0.14296814296814297,276,0,3309,0,1.0
1.0,3,678,0.7359431680773881,0.1196652719665272,0.0796847635726795,0.9891304347826086,0.14748784440842788,273,156,3153,3,0.9528558476881233
1.0,5,135,0.9251058041112454,0.08172942817294282,0.0773542600896861,1.0,0.14360041623309053,276,17,3292,0,0.9948624962224237
1.5,3,376,0.2698760580411125,0.4516039051603905,0.11520947176684881,0.9166666666666666,0.20469255663430425,253,1366,1943,23,0.5871864611665155
1.5,5,146,0.38066807738814995,0.27475592747559274,0.09596662030598054,1.0,0.1751269035532995,276,709,2600,0,0.7857358718646117
2.0,3,277,0.09749093107617895,0.7163179916317992,0.15789473684210525,0.6195652173913043,0.25165562913907286,171,2397,912,105,0.2756119673617407
2.0,5,162,0.1477478839177751,0.6298465829846583,0.16205787781350484,0.9130434782608695,0.27525942108137635,252,2006,1303,24,0.3937745542459958
