feature,importance
cumulative_ip_changes,0.16259485331704301
action_count_in_session,0.09382509350772762
action_count_in_session,0.08873208124227197
country_changes_in_session,0.07591232784159233
country_nunique,0.06613595662867396
ip_address_nunique,0.05806946717488924
device_changes_in_session,0.04926845154784153
device_fingerprint_nunique,0.048067902586630365
ip_changes_in_session,0.04384316473907371
is_sensitive_action,0.033118152280647614
session_duration_seconds,0.032564049705676536
ua_changes_in_session,0.030976751325968988
action_access_page,0.02711453322710418
time_since_session_start,0.025136471301678034
user_agent_nunique,0.019294043537721305
travel_speed_kmh,0.014533182783529169
time_since_last_action,0.014231810441558707
sensitive_action_ratio,0.012045753350351232
action_view_profile,0.011577751944453459
action_login,0.010758012677173752
action_variety,0.007546088390012588
action_variety,0.006388791954772987
distance_from_prev_km,0.0061138658244988715
impossible_travel,0.005490831132637554
ip_changed,0.004738743852333937
action_api_call,0.004481162203419392
country_changed,0.004106567506009483
hour_of_day,0.0036931075759902166
action_submit_form,0.003649278829636231
action_edit_profile,0.0035849068765161202
action_change_password,0.003490850646625873
action_logout,0.003485704034617799
device_changed,0.0033037044438604746
action_click_button,0.0032519319818381316
ua_changed,0.002906585309236146
action_search,0.0026711319489273926
day_of_week,0.002433206825968799
action_view_page,0.002305710703748866
action_download_file,0.001872368448731661
action_upload_file,0.0018598579344830087
action_checkout,0.0012354378310697842
action_view_dashboard,0.0011429252024490338
is_night,0.0009137087398143836
action_payment,0.0008353346432315699
is_weekend,0.0006983859979629565
